timestamp,protocol,src_ip,dst_ip,src_port,dst_port,length
2025-04-24 15:09:36.590867,UDP,149.248.20.104,172.20.6.14,44998,3074,1022
2025-04-24 15:09:36.592646,UDP,172.20.6.14,149.248.20.104,3074,44998,241
2025-04-24 15:09:36.607961,UDP,149.248.20.104,172.20.6.14,44998,3074,969
2025-04-24 15:09:36.609472,UDP,172.20.6.14,149.248.20.104,3074,44998,239
2025-04-24 15:09:36.623398,UDP,149.248.20.104,172.20.6.14,44998,3074,634
2025-04-24 15:09:36.625654,UDP,172.20.6.14,149.248.20.104,3074,44998,285
2025-04-24 15:09:36.639441,UDP,149.248.20.104,172.20.6.14,44998,3074,523
2025-04-24 15:09:36.641991,UDP,172.20.6.14,149.248.20.104,3074,44998,278
2025-04-24 15:09:36.654471,UDP,149.248.20.104,172.20.6.14,44998,3074,612
2025-04-24 15:09:36.655525,UDP,172.20.6.14,149.248.20.104,3074,44998,282
2025-04-24 15:09:36.668124,UDP,172.20.6.14,149.248.20.104,3074,44998,282
2025-04-24 15:09:36.671165,UDP,149.248.20.104,172.20.6.14,44998,3074,383
2025-04-24 15:09:36.680437,UDP,172.20.6.14,149.248.20.104,3074,44998,283
2025-04-24 15:09:36.686979,UDP,149.248.20.104,172.20.6.14,44998,3074,386
2025-04-24 15:09:36.693639,UDP,172.20.6.14,149.248.20.104,3074,44998,196
2025-04-24 15:09:36.700346,UDP,172.20.6.14,149.248.20.104,3074,44998,245
2025-04-24 15:09:36.701905,UDP,149.248.20.104,172.20.6.14,44998,3074,484
2025-04-24 15:09:36.705781,UDP,172.20.6.14,149.248.20.104,3074,44998,201
2025-04-24 15:09:36.712020,UDP,172.20.6.14,149.248.20.104,3074,44998,199
2025-04-24 15:09:36.718131,UDP,149.248.20.104,172.20.6.14,44998,3074,739
2025-04-24 15:09:36.718664,UDP,172.20.6.14,149.248.20.104,3074,44998,197
2025-04-24 15:09:36.734166,UDP,149.248.20.104,172.20.6.14,44998,3074,676
2025-04-24 15:09:36.736970,UDP,172.20.6.14,149.248.20.104,3074,44998,231
2025-04-24 15:09:36.751287,UDP,149.248.20.104,172.20.6.14,44998,3074,756
2025-04-24 15:09:36.755157,UDP,172.20.6.14,149.248.20.104,3074,44998,274
2025-04-24 15:09:36.766511,UDP,149.248.20.104,172.20.6.14,44998,3074,515
2025-04-24 15:09:36.773750,UDP,172.20.6.14,149.248.20.104,3074,44998,229
2025-04-24 15:09:36.782391,UDP,149.248.20.104,172.20.6.14,44998,3074,558
