timestamp,protocol,src_ip,dst_ip,src_port,dst_port,length
2025-03-17 20:30:26.732517,HTTPS,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.732519,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.743079,TCP,17.248.192.10,172.20.1.181,443,59123,66
2025-03-17 20:30:26.743194,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.743197,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.743199,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.753150,TCP,17.248.192.10,172.20.1.181,443,59123,66
2025-03-17 20:30:26.753153,TCP,17.248.192.10,172.20.1.181,443,59123,66
2025-03-17 20:30:26.753265,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.753269,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.753271,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.753274,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.753277,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.763399,TCP,17.248.192.10,172.20.1.181,443,59123,66
2025-03-17 20:30:26.763402,TCP,17.248.192.10,172.20.1.181,443,59123,66
2025-03-17 20:30:26.763468,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.763489,HTTPS,172.20.1.181,17.248.192.10,59123,443,556
2025-03-17 20:30:26.773040,TCP,17.248.192.10,172.20.1.181,443,59123,66
2025-03-17 20:30:27.044033,HTTPS,17.248.192.10,172.20.1.181,443,59123,1514
2025-03-17 20:30:27.044038,HTTPS,17.248.192.10,172.20.1.181,443,59123,102
2025-03-17 20:30:27.044041,TCP,17.248.192.10,172.20.1.181,443,59123,102
2025-03-17 20:30:27.044379,TCP,172.20.1.181,17.248.192.10,59123,443,78
2025-03-17 20:30:27.058165,HTTPS,172.20.1.181,17.248.192.2,59122,443,105
2025-03-17 20:30:27.058590,HTTPS,172.20.1.181,17.248.192.2,59122,443,90
2025-03-17 20:30:27.059069,TCP,172.20.1.181,17.248.192.2,59122,443,66
2025-03-17 20:30:27.062229,TCP,172.20.1.181,17.248.192.2,59124,443,78
2025-03-17 20:30:27.068402,TCP,172.20.1.181,52.35.150.14,56925,443,78
2025-03-17 20:30:27.068410,TCP,17.248.192.2,172.20.1.181,443,59122,66
2025-03-17 20:30:27.069698,TCP,17.248.192.2,172.20.1.181,443,59122,66
2025-03-17 20:30:27.069700,TCP,17.248.192.2,172.20.1.181,443,59122,66
2025-03-17 20:30:27.069813,TCP,172.20.1.181,17.248.192.2,59122,443,66
2025-03-17 20:30:27.070989,TCP,17.248.192.2,172.20.1.181,443,59122,66
2025-03-17 20:30:27.073076,TCP,17.248.192.2,172.20.1.181,443,59124,74
2025-03-17 20:30:27.073765,TCP,172.20.1.181,17.248.192.2,59124,443,66
2025-03-17 20:30:27.073768,HTTPS,172.20.1.181,17.248.192.2,59124,443,583
2025-03-17 20:30:27.087372,TCP,17.248.192.2,172.20.1.181,443,59124,66
2025-03-17 20:30:27.087375,HTTPS,17.248.192.2,172.20.1.181,443,59124,1514
2025-03-17 20:30:27.087379,TCP,17.248.192.2,172.20.1.181,443,59124,1514
2025-03-17 20:30:27.087997,TCP,172.20.1.181,17.248.192.2,59124,443,66
2025-03-17 20:30:27.100299,HTTPS,17.248.192.2,172.20.1.181,443,59124,758
2025-03-17 20:30:27.100810,TCP,172.20.1.181,17.248.192.2,59124,443,66
2025-03-17 20:30:27.115252,HTTPS,172.20.1.181,17.248.192.2,59124,443,146
2025-03-17 20:30:27.119270,HTTPS,172.20.1.181,17.248.192.2,59124,443,1194
2025-03-17 20:30:27.119572,HTTPS,172.20.1.181,17.248.192.2,59124,443,1514
2025-03-17 20:30:27.125820,HTTPS,17.248.192.2,172.20.1.181,443,59124,369
2025-03-17 20:30:27.125825,HTTPS,17.248.192.2,172.20.1.181,443,59124,369
2025-03-17 20:30:27.125828,HTTPS,17.248.192.2,172.20.1.181,443,59124,128
2025-03-17 20:30:27.126117,TCP,172.20.1.181,17.248.192.2,59124,443,386
2025-03-17 20:30:27.129950,HTTPS,17.248.192.2,172.20.1.181,443,59124,97
2025-03-17 20:30:27.130079,HTTPS,172.20.1.181,17.248.192.2,59124,443,586
2025-03-17 20:30:27.136215,TCP,17.248.192.2,172.20.1.181,443,59124,66
2025-03-17 20:30:27.157022,TCP,172.20.1.181,17.248.192.2,59124,443,586
2025-03-17 20:30:27.167246,TCP,17.248.192.2,172.20.1.181,443,59124,78
2025-03-17 20:30:27.197239,HTTPS,17.248.192.2,172.20.1.181,443,59124,834
2025-03-17 20:30:27.197576,TCP,172.20.1.181,17.248.192.2,59124,443,66
2025-03-17 20:30:27.277488,HTTPS,172.20.1.181,17.248.192.2,59121,443,105
2025-03-17 20:30:27.277771,HTTPS,172.20.1.181,17.248.192.2,59121,443,90
2025-03-17 20:30:27.278295,TCP,172.20.1.181,17.248.192.2,59121,443,66
2025-03-17 20:30:27.287283,TCP,17.248.192.2,172.20.1.181,443,59121,66
2025-03-17 20:30:27.287329,TCP,17.248.192.2,172.20.1.181,443,59121,66
2025-03-17 20:30:27.287331,TCP,17.248.192.2,172.20.1.181,443,59121,66
2025-03-17 20:30:27.287333,TCP,17.248.192.2,172.20.1.181,443,59121,66
2025-03-17 20:30:27.287765,TCP,172.20.1.181,17.248.192.2,59121,443,66
2025-03-17 20:30:27.302629,TCP,172.20.1.181,17.248.192.2,59125,443,78
2025-03-17 20:30:27.313295,TCP,17.248.192.2,172.20.1.181,443,59125,74
2025-03-17 20:30:27.314103,TCP,172.20.1.181,17.248.192.2,59125,443,66
2025-03-17 20:30:27.314109,HTTPS,172.20.1.181,17.248.192.2,59125,443,583
2025-03-17 20:30:27.325559,TCP,172.20.1.181,52.35.150.14,56926,443,78
2025-03-17 20:30:27.326315,TCP,17.248.192.2,172.20.1.181,443,59125,66
2025-03-17 20:30:27.326318,HTTPS,17.248.192.2,172.20.1.181,443,59125,1514
2025-03-17 20:30:27.326323,TCP,17.248.192.2,172.20.1.181,443,59125,1514
2025-03-17 20:30:27.326327,HTTPS,17.248.192.2,172.20.1.181,443,59125,756
2025-03-17 20:30:27.327609,TCP,172.20.1.181,17.248.192.2,59125,443,66
2025-03-17 20:30:27.336751,HTTPS,172.20.1.181,17.248.192.2,59125,443,146
2025-03-17 20:30:27.345858,HTTPS,172.20.1.181,17.248.192.2,59125,443,1404
2025-03-17 20:30:27.346089,HTTPS,172.20.1.181,17.248.192.2,59125,443,1514
2025-03-17 20:30:27.346102,HTTPS,172.20.1.181,17.248.192.2,59125,443,291
2025-03-17 20:30:27.346219,HTTPS,172.20.1.181,17.248.192.2,59125,443,97
2025-03-17 20:30:27.348193,HTTPS,17.248.192.2,172.20.1.181,443,59125,369
2025-03-17 20:30:27.348196,HTTPS,17.248.192.2,172.20.1.181,443,59125,369
2025-03-17 20:30:27.348200,HTTPS,17.248.192.2,172.20.1.181,443,59125,128
2025-03-17 20:30:27.348537,TCP,172.20.1.181,17.248.192.2,59125,443,66
2025-03-17 20:30:27.348674,HTTPS,172.20.1.181,17.248.192.2,59125,443,97
2025-03-17 20:30:27.357883,HTTPS,17.248.192.2,172.20.1.181,443,59125,97
2025-03-17 20:30:27.357984,TCP,172.20.1.181,17.248.192.2,59125,443,66
2025-03-17 20:30:27.358159,TCP,17.248.192.2,172.20.1.181,443,59125,66
2025-03-17 20:30:27.360525,TCP,17.248.192.2,172.20.1.181,443,59125,66
2025-03-17 20:30:27.563102,HTTPS,17.248.192.2,172.20.1.181,443,59125,1394
2025-03-17 20:30:27.563571,TCP,172.20.1.181,17.248.192.2,59125,443,66
2025-03-17 20:30:27.613371,HTTPS,172.20.1.181,17.248.192.2,59125,443,241
2025-03-17 20:30:27.613594,HTTPS,172.20.1.181,17.248.192.2,59125,443,1008
2025-03-17 20:30:27.613700,HTTPS,172.20.1.181,17.248.192.2,59125,443,97
2025-03-17 20:30:27.625620,TCP,17.248.192.2,172.20.1.181,443,59125,66
2025-03-17 20:30:27.625624,HTTPS,17.248.192.2,172.20.1.181,443,59125,101
2025-03-17 20:30:27.625878,TCP,172.20.1.181,17.248.192.2,59125,443,66
2025-03-17 20:30:27.665753,TCP,17.248.192.2,172.20.1.181,443,59125,66
2025-03-17 20:30:27.673743,HTTPS,17.248.192.2,172.20.1.181,443,59125,1514
2025-03-17 20:30:27.673748,TCP,17.248.192.2,172.20.1.181,443,59125,1514
2025-03-17 20:30:27.673906,TCP,172.20.1.181,17.248.192.2,59125,443,66
